A. Carl Helmholz,13
A. Cemal Eringen,
A. E. Muthunayagam,
A. F. K. Organski,96
A. James Gregor,
A. K. Narain,
A. M. Harun-ar-Rashid,
A. Michael Spence,77
A. P. Dianin,3
A. Ranganadha Rao,
A. S. Besicovitch,
A. S. Troelstra,
A. Sivathanu Pillai,32
Aage Niels Bohr,
Aaron Ciechanover,257
Aaron Director,41
Aaron Goldberg,
Aaron Klug,
Aaron Marcus,568
Aaron Pixton,24
Aaron T. Beck Beck,
Aban Marker Kabraji,
Abbas Aroua,43
Abbas Milani,
Abby Lillian Marlatt,15
Abdul Gaffar Billoo,
Abdul Hafeez,
Abdul Nayyar,
Abdul Qadeer Khan,
Abdulalim A. Shabazz,3
Abdullah Sadiq,27
Abdulrahman Al-Ansary,
Abdus Salam,1.780
Abel Nicodemus,
Abhay Ashtekar,
Abhijit Banerjee,
Abraham (Bram) Pais,0
Abraham Adrian Albert,
Abraham Alikhanov,0
Abraham Esau,34
Abraham H. Taub,7
Abraham Klein,
Abraham Nitzan,348
Abraham Robinson,
Abraham Seidenberg,41
Abraham Sinkov,13
Abram I. Fet,
Achilles Papapetrou,
Ada E. Yonath,
Ada Florence Remfry Hitchins,
Adam Frank,529
Adam G. Riess,
Adam Gazzaley,
Adam Heller,531
Adam Riess,274
Adam Wierman,
Adele Goldberg,
Adi Bulsara,
Adi Shamir,
Adiele Afigbo,
Adolf Friedrich Johann Butenandt,4
Adolf Hurwitz,
Adolf Meyer,
Adolf Otto Reinhold Windaus,
Adolf Piltz,
Adolf Reinach,
Adolph Knoph,
Adriaan Blaauw,82
Adriaan Cornelis Zaanen,
Adriaan Van Maanen,
Adriaan van Wijngaarden,
Adrian Frederick Melhuish Smith,
Adrian Ioana,
Adriana Hoffmann,59
Adriana Uria Ocampo,0
Adriano Garsia,95
Agnes Arber,
Agnes Claypole Moody,0
Aharon Razin,
Ahatanhel Krymsky,0
Ahmad Hasan Dani,133
Ahmed H. Zewail,
Ahmed Mohiuddin,
Aida Imanguliyeva,
Aikitsu Tanakadate,9
Aise Johan De Jong,
